  Energy: apple (cpu_time_estimate)
  Speech: faster-whisper
WARNING openjarvis.agents.scheduler: croniter not installed, treating cron as 3600s interval
  Scheduler: active
  Memory:    active
Starting OpenJarvis API server
  Engine: ollama
  Model:  gemma4:e4b
  Agent:  orchestrator
  URL:    http://127.0.0.1:8000
INFO:     Started server process [72503]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     127.0.0.1:52625 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52626 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:52684 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52685 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52686 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:52746 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52747 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52748 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:52806 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52808 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52809 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:52867 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52868 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52870 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:52931 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52932 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52933 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:52995 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:52997 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52998 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53061 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53063 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53065 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53114 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53116 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53118 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53125 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53142 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53143 - "GET /v1/speech/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53144 - "GET /v1/connectors HTTP/1.1" 200 OK
INFO:     127.0.0.1:53145 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53146 - "GET /v1/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:53147 - "GET /v1/info HTTP/1.1" 200 OK
INFO:     127.0.0.1:53155 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53158 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53160 - "GET /v1/models HTTP/1.1" 200 OK
INFO:     127.0.0.1:53161 - "GET /v1/speech/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53164 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53165 - "GET /v1/connectors HTTP/1.1" 200 OK
INFO:     127.0.0.1:53168 - "GET /v1/info HTTP/1.1" 200 OK
INFO:     127.0.0.1:53173 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53174 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53184 - "POST /v1/chat/completions HTTP/1.1" 200 OK
INFO:     127.0.0.1:53220 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53221 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53225 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     127.0.0.1:53240 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53258 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:53259 - "GET /v1/savings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53263 - "GET /v1/managed-agents HTTP/1.1" 200 OK
INFO:     Shutting down
INFO:     Waiting for application shutdown.
INFO:     Application shutdown complete.
INFO:     Finished server process [72503]
